period,fuel,value
2022,Coal,184517
2021,Coal,179055
2020,Coal,162702
2019,Coal,205139
2018,Coal,261530
2017,Coal,257594
2016,Coal,261250
2015,Coal,271570
2014,Coal,313073
2013,Coal,267695
2012,Coal,257875
2011,Coal,315604
2010,Coal,315438
2009,Coal,328678
2008,Coal,359359
2007,Coal,366208
2006,Coal,370814
2005,Coal,379114
2004,Coal,378775
2003,Coal,390691
2002,Coal,360822
2001,Coal,353305
2000,Coal,373775
1999,Coal,341475
1998,Coal,357030
1997,Coal,341636
1996,Coal,354571
1995,Coal,337972
1994,Coal,332848
1993,Coal,325850
1992,Coal,300773
1991,Coal,301476
1990,Coal,325469
1989,Coal,324899
1988,Coal,303592
1987,Coal,255980
1986,Coal,201382
1985,Coal,226094
1984,Coal,231376
1983,Coal,211168
1982,Coal,212528
1981,Coal,244190
1980,Coal,242420
1979,Coal,229460
1978,Coal,255741
1977,Coal,264929
1976,Coal,222441
1975,Coal,191490
1974,Coal,188665
1973,Coal,180736
1972,Coal,161572
1971,Coal,155594
1970,Coal,179727
1969,Coal,191156
1968,Coal,150563
1967,Coal,161175
1966,Coal,171398
1965,Coal,159987
1964,Coal,156354
1963,Coal,138716
1962,Coal,131206
1961,Coal,130948
1960,Coal,131265
2023,Natural Gas,536789
2022,Natural Gas,535010
2021,Natural Gas,523812
2020,Natural Gas,496026
2019,Natural Gas,549487
2018,Natural Gas,514172
2017,Natural Gas,466884
2016,Natural Gas,466365
2015,Natural Gas,448557
2014,Natural Gas,490111
2013,Natural Gas,478611
2012,Natural Gas,430277
2011,Natural Gas,424958
2010,Natural Gas,427186
2009,Natural Gas,405516
2008,Natural Gas,435086
2007,Natural Gas,395658
2006,Natural Gas,358198
2005,Natural Gas,372082
2004,Natural Gas,362346
2003,Natural Gas,374189
2002,Natural Gas,374171
2001,Natural Gas,344882
2000,Natural Gas,367359
1999,Natural Gas,351078
1998,Natural Gas,337078
1997,Natural Gas,360264
1996,Natural Gas,374298
1995,Natural Gas,357493
1994,Natural Gas,327091
1993,Natural Gas,331511
1992,Natural Gas,312165
1991,Natural Gas,318200
1990,Natural Gas,291771
1989,Natural Gas,301369
1988,Natural Gas,285439
1987,Natural Gas,239750
1986,Natural Gas,244526
1985,Natural Gas,258499
1984,Natural Gas,256402
1983,Natural Gas,246314
1982,Natural Gas,263011
1981,Natural Gas,264845
1980,Natural Gas,284941
1979,Natural Gas,332631
1978,Natural Gas,312196
1977,Natural Gas,292501
1976,Natural Gas,319516
1975,Natural Gas,331518
1974,Natural Gas,351995
1973,Natural Gas,360450
1972,Natural Gas,352111
1971,Natural Gas,352144
1970,Natural Gas,343007
1969,Natural Gas,328944
1968,Natural Gas,315017
1967,Natural Gas,285350
1966,Natural Gas,265810
1965,Natural Gas,248244
1964,Natural Gas,236502
1963,Natural Gas,218609
1962,Natural Gas,221625
1961,Natural Gas,199324
1960,Natural Gas,186121
2024,Nuclear,123693
2023,Nuclear,124626
2022,Nuclear,153546
2021,Nuclear,147286
2020,Nuclear,153319
2019,Nuclear,147280
2018,Nuclear,152657
2017,Nuclear,145426
2016,Nuclear,144970
2015,Nuclear,125900
2014,Nuclear,132904
2013,Nuclear,111885
2012,Nuclear,125159
2011,Nuclear,125134
2010,Nuclear,140873
2009,Nuclear,129623
2008,Nuclear,135843
2007,Nuclear,137437
2006,Nuclear,137569
2005,Nuclear,133948
2004,Nuclear,138645
2003,Nuclear,139799
2002,Nuclear,142897
2001,Nuclear,123113
2000,Nuclear,135160
1999,Nuclear,139148
1998,Nuclear,122158
1997,Nuclear,113536
1996,Nuclear,127035
1995,Nuclear,139149
1994,Nuclear,127761
1993,Nuclear,125902
1992,Nuclear,116923
1991,Nuclear,126427
1990,Nuclear,128458
1989,Nuclear,115634
1988,Nuclear,130279
1987,Nuclear,120643
1986,Nuclear,116919
1985,Nuclear,122923
1984,Nuclear,90306
1983,Nuclear,128164
1982,Nuclear,112911
1981,Nuclear,112360
1980,Nuclear,109374
1979,Nuclear,125146
1978,Nuclear,126822
1977,Nuclear,120211
1976,Nuclear,109482
1975,Nuclear,107372
1974,Nuclear,48695
1973,Nuclear,35654
1972,Nuclear,38405
1971,Nuclear,15106
1970,Nuclear,0
1969,Nuclear,0
1968,Nuclear,167
1967,Nuclear,1624
1966,Nuclear,1498
1965,Nuclear,1693
1964,Nuclear,669
1963,Nuclear,8
1962,Nuclear,0
1961,Nuclear,0
1960,Nuclear,0
